frequency_hz,magnitude_db,drive_level_db
20.0,-3.411,-18.0
25.4,-3.379,-18.0
32.2,-3.28,-18.0
40.9,-3.165,-18.0
51.9,-3.185,-18.0
65.8,-3.144,-18.0
83.5,-3.138,-18.0
106.0,-3.116,-18.0
134.5,-3.109,-18.0
170.6,-3.12,-18.0
216.5,-3.109,-18.0
274.8,-3.108,-18.0
348.7,-3.114,-18.0
442.4,-3.111,-18.0
561.4,-3.107,-18.0
712.4,-3.108,-18.0
904.1,-3.106,-18.0
1147.2,-3.117,-18.0
1455.8,-3.196,-18.0
1847.3,-3.459,-18.0
2344.2,-3.912,-18.0
2974.7,-4.492,-18.0
3774.8,-5.124,-18.0
4790.1,-5.645,-18.0
6078.4,-5.884,-18.0
7713.2,-5.841,-18.0
9787.8,-5.646,-18.0
12420.3,-5.426,-18.0
15760.9,-5.337,-18.0
20000.0,-5.654,-18.0
20.0,-3.411,-12.0
25.4,-3.379,-12.0
32.2,-3.28,-12.0
40.9,-3.165,-12.0
51.9,-3.185,-12.0
65.8,-4.121,-12.0
83.5,-4.671,-12.0
106.0,-5.176,-12.0
134.5,-5.372,-12.0
170.6,-5.509,-12.0
216.5,-5.509,-12.0
274.8,-5.537,-12.0
348.7,-5.618,-12.0
442.4,-5.579,-12.0
561.4,-5.613,-12.0
712.4,-5.684,-12.0
904.1,-5.769,-12.0
1147.2,-5.917,-12.0
1455.8,-6.134,-12.0
1847.3,-6.459,-12.0
2344.2,-6.912,-12.0
2974.7,-7.492,-12.0
3774.8,-8.124,-12.0
4790.1,-8.645,-12.0
6078.4,-8.884,-12.0
7713.2,-8.841,-12.0
9787.8,-8.646,-12.0
12420.3,-8.425,-12.0
15760.9,-8.337,-12.0
20000.0,-8.654,-12.0
20.0,-3.41,-6.0
25.4,-4.239,-6.0
32.2,-4.909,-6.0
40.9,-3.628,-6.0
51.9,-5.791,-6.0
65.8,-7.124,-6.0
83.5,-7.67,-6.0
106.0,-8.175,-6.0
134.5,-8.372,-6.0
170.6,-8.509,-6.0
216.5,-8.508,-6.0
274.8,-8.537,-6.0
348.7,-8.618,-6.0
442.4,-8.579,-6.0
561.4,-8.613,-6.0
712.4,-8.685,-6.0
904.1,-8.77,-6.0
1147.2,-8.918,-6.0
1455.8,-9.135,-6.0
1847.3,-9.46,-6.0
2344.2,-9.912,-6.0
2974.7,-10.491,-6.0
3774.8,-11.124,-6.0
4790.1,-11.644,-6.0
6078.4,-11.884,-6.0
7713.2,-11.841,-6.0
9787.8,-11.646,-6.0
12420.3,-11.426,-6.0
15760.9,-11.338,-6.0
20000.0,-11.654,-6.0
20.0,-3.408,0.0
25.4,-7.359,0.0
32.2,-7.931,0.0
40.9,-6.759,0.0
51.9,-8.822,0.0
65.8,-10.145,0.0
83.5,-10.678,0.0
106.0,-11.173,0.0
134.5,-11.37,0.0
170.6,-11.518,0.0
216.5,-11.534,0.0
274.8,-11.572,0.0
348.7,-11.641,0.0
442.4,-11.628,0.0
561.4,-11.668,0.0
712.4,-11.744,0.0
904.1,-11.834,0.0
1147.2,-11.985,0.0
1455.8,-12.201,0.0
1847.3,-12.519,0.0
2344.2,-12.962,0.0
2974.7,-13.528,0.0
3774.8,-14.152,0.0
4790.1,-14.676,0.0
6078.4,-14.925,0.0
7713.2,-14.891,0.0
9787.8,-14.705,0.0
12420.3,-14.484,0.0
15760.9,-14.406,0.0
20000.0,-14.714,0.0
20.0,-3.407,3.0
25.4,-9.094,3.0
32.2,-9.479,3.0
40.9,-8.541,3.0
51.9,-10.399,3.0
65.8,-11.716,3.0
83.5,-12.212,3.0
106.0,-12.675,3.0
134.5,-12.874,3.0
170.6,-13.064,3.0
216.5,-13.114,3.0
274.8,-13.167,3.0
348.7,-13.234,3.0
442.4,-13.247,3.0
561.4,-13.298,3.0
712.4,-13.38,3.0
904.1,-13.483,3.0
1147.2,-13.64,3.0
1455.8,-13.859,3.0
1847.3,-14.173,3.0
2344.2,-14.6,3.0
2974.7,-15.141,3.0
3774.8,-15.747,3.0
4790.1,-16.27,3.0
6078.4,-16.529,3.0
7713.2,-16.507,3.0
9787.8,-16.334,3.0
12420.3,-16.11,3.0
15760.9,-16.05,3.0
20000.0,-16.332,3.0
